,evaluationMeasure_-E auc,evaluationMeasure_-E mae,evaluationMeasure_-E rmse,search_-S weka.attributeSelection.BestFirst -D 1 -N 5,search_-S weka.attributeSelection.GreedyStepwise,useIBk_,useIBk_-I,evaluationMeasure_-E acc
banana,0,0,0,10,0,10,0,10.0
banknotes,0,0,3,10,0,7,3,7.0
car,0,0,10,10,0,0,10,
contraceptive,4,2,4,10,0,1,9,
diabetic,1,3,5,10,0,0,10,1.0
flare,8,0,0,8,2,1,9,2.0
krvskp,10,0,0,8,2,4,6,
page-blocks,8,0,0,9,1,0,10,2.0
penbased,9,0,0,10,0,7,3,1.0
phoneme,5,0,1,8,2,0,10,4.0
ring,10,0,0,8,2,0,10,
seismicbumps,6,1,3,10,0,1,9,
splice,2,0,0,9,1,0,10,8.0
steelfaults,0,0,10,10,0,0,10,
texture,1,0,5,10,0,10,0,4.0
thyroid,0,1,2,9,1,0,10,7.0
titanic,0,0,6,10,0,0,10,4.0
turkiye,0,0,6,9,1,0,10,4.0
twonorm,2,1,3,9,1,0,10,4.0
waveform,2,2,6,9,1,4,6,
