,numIterations_-I 50,numIterations_-I 132,numIterations_-I 377,numIterations_-I 214,numIterations_-I 173,numIterations_-I 91,numIterations_-I 336,numIterations_-I 255
banana,10,,,,,,,
banknotes,1,3.0,1.0,2.0,1.0,1.0,1.0,
car,8,,,,,2.0,,
contraceptive,10,,,,,,,
diabetic,8,1.0,,,,,,1.0
flare,10,,,,,,,
krvskp,6,1.0,,,,3.0,,
page-blocks,7,,,,,3.0,,
penbased,7,,,,1.0,2.0,,
phoneme,10,,,,,,,
ring,10,,,,,,,
seismicbumps,6,1.0,,1.0,,1.0,,1.0
splice,10,,,,,,,
steelfaults,10,,,,,,,
texture,8,,,,,2.0,,
thyroid,7,2.0,,,,1.0,,
titanic,3,4.0,,,,3.0,,
turkiye,10,,,,,,,
twonorm,10,,,,,,,
waveform,10,,,,,,,
