classifier,someClassifier-AdaBoostM1,someClassifier-AdaBoostM1
metric,mean,std
banana,0.959845476539218,0.0
banknotes,0.9996401832967601,0.0
contraceptive,0.6347849427402219,0.0
diabetic,0.7294311086864278,0.0
flare,0.8813712991960907,0.0
krvskp,0.998383402725379,0.0
page-blocks,0.9843417603572201,0.0
penbased,0.9995870786208434,0.0
phoneme,0.9374036801848548,0.0
ring,0.9928989807946756,0.0
seismicbumps,0.7065817047614407,0.0
steelfaults,1.0,0.0
texture,0.9995428727272728,0.0
titanic,0.7586483731203806,0.0
turkiye,0.7316178919206522,0.0
twonorm,0.9943506354386938,0.0
waveform,0.963285023180763,0.0
splice,0.9896502858137858,0.0
car,0.9948160412179556,0.0
thyroid,0.9993630913861917,0.0
