,classifier_SimpleCart,numIterations_-I 50,numIterations_-I 91,numIterations_-I 132,numIterations_-I 173,numIterations_-I 377,numIterations_-I 295,numIterations_-I 418,numIterations_-I 214,classifier_-W ednel.classifiers.trees.SimpleCart
penbased-amalgama,1.0,0.0,0.0,,,,,,,
banana,,10.0,,,,,,,,10.0
banknotes,,3.0,1.0,2.0,1.0,1.0,2.0,,,10.0
car,,9.0,1.0,,,,,,,10.0
contraceptive,,10.0,,,,,,,,10.0
diabetic,,,5.0,1.0,2.0,,,1.0,1.0,10.0
flare,,10.0,,,,,,,,10.0
krvskp,,9.0,,1.0,,,,,,10.0
page-blocks,,5.0,5.0,,,,,,,10.0
phoneme,,1.0,,,,,,,,1.0
seismicbumps,,9.0,1.0,,,,,,,10.0
splice,,9.0,1.0,,,,,,,10.0
steelfaults,,10.0,,,,,,,,10.0
texture,,8.0,1.0,,,,,,,9.0
thyroid,,7.0,2.0,,1.0,,,,,10.0
titanic,,10.0,,,,,,,,10.0
turkiye,,10.0,,,,,,,,10.0
twonorm,,10.0,,,,,,,,10.0
waveform,,9.0,1.0,,,,,,,10.0
