classifier,someClassifier-RandomForestRulesClassifier,someClassifier-RandomForestRulesClassifier
metric,mean,std
banana,0.9161590684547251,0.0
banknotes,0.9960871950432426,0.0
car,0.924554051336493,0.0
contraceptive,0.6409616920290175,0.0
diabetic,0.6824809056192035,0.0
flare,0.8173187016782432,0.0
krvskp,0.9938726254756112,0.0
page-blocks,0.950355778157782,0.0
penbased,0.9900627142868365,0.0
phoneme,0.8912292902075982,0.0
ring,0.9507154950534397,0.0
seismicbumps,0.5699863541108241,0.0
splice,0.9367376576761458,0.0
steelfaults,0.9982188140113715,0.0
texture,0.9824246909090907,0.0
thyroid,0.8324786308445632,0.0
titanic,0.7171844174477765,0.0
twonorm,0.9425184063305811,0.0
waveform,0.9005379125474734,0.0
turkiye,,
